Date,Price,Open,High,Low,Vol.,Change %
"Jan 05, 2017",51710.65,50698.65,51990,50550.05,8.44K,2.63
"Jan 04, 2017",50386.1,50679.8,50769.75,50181.6,7.05K,-0.01
"Jan 03, 2017",50391.45,49388.9,50500,49101.25,9.53K,2.66
"Jan 02, 2017",49084.4,49000,49304.95,48799.75,8.37K,0.37
"Dec 30, 2016",48905.65,49100,49300,48500,7.87K,0.02
"Dec 29, 2016",48893.8,48350,48980,48350,9.16K,0.84
"Dec 28, 2016",48485.95,48998.95,49089.95,48356.45,5.32K,-0.43
"Dec 27, 2016",48692.95,48556.8,48840,47512.3,10.69K,0.77
"Dec 26, 2016",48319.45,48998.8,49005.05,48000,6.62K,-1.38
"Dec 23, 2016",48996.5,48370,49685,47968.15,10.85K,1.58
"Dec 22, 2016",48234.65,48797.7,49249,48055.2,9.56K,-1.27
"Dec 21, 2016",48855.15,50188,50188,48800,11.40K,-1.95
"Dec 20, 2016",49825.3,51434,51923.95,49680,12.48K,-3.37
"Dec 19, 2016",51561.55,52387,52387,51431,4.27K,-1.14
"Dec 16, 2016",52154.7,52920,52996.9,51980.3,13.61K,-0.87
"Dec 15, 2016",52613.4,53000,53270,52400,14.18K,-0.28
"Dec 14, 2016",52759.7,52216,52999,52216,7.68K,0.64
"Dec 13, 2016",52424.2,52549,53350,52320,11.94K,0.36
"Dec 12, 2016",52235,52701,52996.8,52001,8.23K,-1.51
"Dec 09, 2016",53033.5,51656,53448,51286.4,17.82K,3.14
"Dec 08, 2016",51416.55,50401,51669,50401,10.47K,2.53
"Dec 07, 2016",50147.8,50399,50705.3,49810,8.16K,-0.31
"Dec 06, 2016",50304.7,50639,51074.55,49861.05,13.17K,-0.33
"Dec 05, 2016",50469.3,48401.1,50722.3,48401.1,16.30K,3.33
"Dec 02, 2016",48841.6,48790,49340,48280,11.38K,-0.09
"Dec 01, 2016",48883.3,50799.95,50799.95,48684.5,15.42K,-2.04
"Nov 30, 2016",49900.1,50000,50595.2,49500,35.74K,1.59
"Nov 29, 2016",49118.95,47720,49498,47720,13.81K,3.25
"Nov 28, 2016",47574.05,47399,48460,47250,8.31K,0.64
"Nov 25, 2016",47270.5,47544,47775.2,47112,7.61K,0.12
"Nov 24, 2016",47214.75,47474,47877,46832.05,9.05K,-0.63
"Nov 23, 2016",47513.75,47490,48189.6,46560,14.32K,1.21
"Nov 22, 2016",46947.2,46860,47467.75,46451,16.52K,0.59
"Nov 21, 2016",46672.35,49109,49500,46501,13.86K,-4.91
"Nov 18, 2016",49080.5,49800,50078.5,48889.8,14.11K,-1.6
"Nov 17, 2016",49876.9,50712,51250,49501.2,11.12K,-1.33
"Nov 16, 2016",50548.45,51004.9,51700,50360,13.31K,0.88
"Nov 15, 2016",50108.3,52540,53050,49768.2,24.84K,-4.7
"Nov 11, 2016",52576.9,53149.1,53357.9,52010.4,15.52K,-1.75
"Nov 10, 2016",53515.45,52600,53940,52600,13.83K,2.59
"Nov 09, 2016",52166.55,48200,52824,47000,27.06K,0.23
"Nov 08, 2016",52046.7,51000,52400,50359.5,18.33K,2.35
"Nov 07, 2016",50851.95,50800,51000,50350,11.68K,1.34
"Nov 04, 2016",50179.7,50449,50899,49551,22.88K,-0.17
"Nov 03, 2016",50264.3,49300,50777,49132.9,19.39K,1.4
"Nov 02, 2016",49569.1,49500,50239.55,48857.1,22.45K,-1.05
"Nov 01, 2016",50095.45,48288,50443,48001.05,30.01K,4.8
"Oct 30, 2016",47799.8,48597.9,48597.9,47620,3.70K,-0.32
"Oct 28, 2016",47955.55,46402,48190,46402,24.43K,3.34
"Oct 27, 2016",46403.6,49800,50094.5,46199.95,37.97K,-6.52
"Oct 26, 2016",49638.55,50080,50771,49236.85,15.49K,-0.92
"Oct 25, 2016",50100.05,50059,50300,49710,9.42K,0.3
"Oct 24, 2016",49949.85,50603,50929,49801,8.33K,-0.97
"Oct 21, 2016",50438.25,50187.9,51100,49728.55,22.62K,1.34
"Oct 20, 2016",49770.05,50650,51502.05,49530,22.52K,-1.48
"Oct 19, 2016",50518.4,51625,51777,50380,23.92K,-2.15
"Oct 18, 2016",51627.6,50290,51777,48751,39.43K,3.52
"Oct 17, 2016",49873.05,52549.8,52600,49749.05,19.87K,-4.91
"Oct 14, 2016",52449,53310,53550,52201,14.34K,-1.73
"Oct 13, 2016",53371.3,53089.9,53740,52600.2,24.54K,0.64
"Oct 10, 2016",53034,53550,54087.15,52710.15,12.55K,-0.82
"Oct 07, 2016",53471.9,54530,54530,53065,18.74K,-0.78
"Oct 06, 2016",53892.8,54000,54650,53305.7,34.56K,0.37
"Oct 05, 2016",53693.8,51677,53899,51200,42.29K,4.82
"Oct 04, 2016",51226.85,52200,52499,50906.1,19.59K,-1.29
"Oct 03, 2016",51894.9,51810,52444,51251.45,25.48K,2.01
"Sep 30, 2016",50872.55,48750,51150,48750,33.20K,4.66
"Sep 29, 2016",48605.6,50300,51515.45,47860.3,76.12K,-2.31
"Sep 28, 2016",49753.35,46899.8,50190,46710,64.71K,6.85
"Sep 27, 2016",46562.4,45759,46917.85,45759,16.89K,1.85
"Sep 26, 2016",45715.45,45799.95,46349,45458,18.11K,-0.27
"Sep 23, 2016",45841.3,44800,46471.75,44114,38.54K,3.3
"Sep 22, 2016",44375.85,44449,44499,43835.5,15.93K,1.3
"Sep 21, 2016",43806.65,43450,44300,43406.9,21.21K,0.43
"Sep 20, 2016",43620.5,43350,43921,42900,33.08K,1.2
"Sep 19, 2016",43101.65,40555,43270,40520.05,35.96K,6.4
"Sep 16, 2016",40507.8,41350,41719.95,40200,18.05K,-1.5
"Sep 15, 2016",41124,40825,41874.7,40825,18.37K,0.99
"Sep 14, 2016",40722.85,39110,41000,39100,17.91K,4.15
"Sep 12, 2016",39100.2,39950,39950,38695.75,16.13K,-2.74
"Sep 09, 2016",40201.5,40000,40549.85,39826.8,13.88K,0.41
"Sep 08, 2016",40035.8,39880,40380,39627.1,9.37K,0.36
"Sep 07, 2016",39893.6,39889.9,40337,39550,16.41K,0.91
"Sep 06, 2016",39535.8,39000,39732.5,38903,14.43K,1.76
"Sep 02, 2016",38852.55,37390,39000,37235,21.17K,4.35
"Sep 01, 2016",37231.85,37750,37850,37099.5,5.26K,-0.53
"Aug 31, 2016",37431.8,37988.95,37988.95,37310.6,6.96K,-0.42
"Aug 30, 2016",37591.45,37390,38087.95,37288.25,13.20K,0.32
"Aug 29, 2016",37471.65,36400,37590.1,36400,15.24K,3.11
"Aug 26, 2016",36339.7,36500,36863.35,36212,8.70K,-0.33
"Aug 25, 2016",36458.85,36303,36800,36200,10.21K,0.44
"Aug 24, 2016",36300.3,35770,36490,35700,10.76K,1.56
"Aug 23, 2016",35744.25,35485.6,35849.95,35323.3,8.44K,0.73
"Aug 22, 2016",35485.6,36299,36299.9,35299.95,6.81K,-1.73
"Aug 19, 2016",36110.1,36553,36800,36012,5.58K,-1.21
"Aug 18, 2016",36553.95,36526.75,36827.95,36306,6.25K,0.08
"Aug 17, 2016",36525.05,36015,36907.5,36015,5.05K,1.1
"Aug 16, 2016",36126.3,36000,36490.5,36000,4.49K,-0.01
"Aug 12, 2016",36129.25,36210,36871.85,35999.7,7.95K,-1.45
"Aug 11, 2016",36660.75,36410,37300,36000,14.51K,-0.15
"Aug 10, 2016",36716.85,37000,37099.95,36001.05,9.82K,-0.5
"Aug 09, 2016",36902.45,37092.45,37250,36001,8.28K,-0.51
"Aug 08, 2016",37092.45,37340,37540,36921.45,8.74K,0.07
"Aug 05, 2016",37068.2,35325.5,37490,35325.5,28.93K,4.96
"Aug 04, 2016",35315.4,34935,35560,34550.05,8.31K,2.05
"Aug 03, 2016",34605.85,34001,34935,33760,10.15K,2.01
"Aug 02, 2016",33922.45,33751,34189.25,33750.95,9.37K,0.36
"Aug 01, 2016",33799.15,33960,34449,33650,9.33K,-0.13
"Jul 29, 2016",33844.15,34088.1,34088.1,33700,4.27K,-0.62
"Jul 28, 2016",34053.9,34250,34422.25,33900,3.77K,0.08
"Jul 27, 2016",34026.1,33990,34400,33738.95,4.31K,0.48
"Jul 26, 2016",33862.5,34898.9,34923.9,33628,4.82K,-2.32
"Jul 25, 2016",34668.05,34425,35084.1,34220.05,6.17K,1.51
"Jul 22, 2016",34153.6,34689.8,34689.8,34052.05,5.26K,-0.69
"Jul 21, 2016",34389.3,35317.55,35425,34111,5.54K,-2.63
"Jul 20, 2016",35317.55,35000,35374.8,34810.05,3.79K,1.4
